Années;Type de collectivité;Pourcentage;Indicateurs;Indicateurs de leffort budgétaire des conseils régionaux;Régions;Pays;Codes régions;Objectifs sur budget ventilé;Valeur;Code anciennes régions;Anciennes régions
2015;Collectivités territoriales;1;Budget R&T;;Auvergne-Rhône-Alpes;;R84;Equipement de laboratoires (%);1.59;;
2015;Collectivités territoriales;0;Budget R&T;;Auvergne-Rhône-Alpes;;R84;Opérations immobilières;53.58;;
2015;Collectivités territoriales;0;Budget R&T;;Auvergne-Rhône-Alpes;;R84;Equipement de laboratoires;2.6;;
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Hauts-de-France;;R32;Tous objectifs;8.66;;
2015;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Poids dans le budget total de R&T des conseils régionaux;Hauts-de-France;;R32;Tous objectifs;6.08;;
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Hauts-de-France;;R32;Tous objectifs;13.21;;
2015;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Île-de-France;;R11;Tous objectifs;8.08;;
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Île-de-France;;R11;Tous objectifs;25.48;;
2015;Collectivités territoriales;1;Budget R&T;;Île-de-France;;R11;Projets de la recherche publique (%);8;;
2015;Collectivités territoriales;0;Budget R&T;;Île-de-France;;R11;Aides aux chercheurs;16.19;;
2015;Conseils départementaux;0;Budget R&T;;Hauts-de-France;;R32;Tous objectifs;2.31;;
2015;Communes et EPCI;0;Budget R&T;;Île-de-France;;R11;Tous objectifs;10.27;;
2015;Communes et EPCI;1;Budget R&T réalisé dans le cadre du CPER;;Île-de-France;;R11;Tous objectifs;0;;
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Grand Est;;R44;Tous objectifs;2.61;;
2015;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Grand Est;;R44;Tous objectifs;44.27;;
2015;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Grand Est;;R44;Tous objectifs;20.79;;
2015;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;;R32;Culture et information scientifique (%);2.11;;
2015;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Grand Est;;R44;Tous objectifs;2.01;;
2015;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;;R32;Culture et information scientifique;2.01;;
2015;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;;R32;Equipement de laboratoires (%);5.28;;
2015;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;;R32;Equipement de laboratoires;5.03;;
2015;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;;R32;Aides aux chercheurs (%);11;;
2015;Conseils départementaux;0;Budget R&T;;Grand Est;;R44;Tous objectifs;9.68;;
2015;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Normandie;;R28;Tous objectifs;2.44;;
