datasetid,recordid,sexe_de_l_etudiant,niveau_geo,diffusable,sexe,a_des_effectifs_ing,secteur_de_l_etablissement,niveau_geographique,rentree_universitaire,regroupement,rentree,reg_id,secret,secteur,effectif,donnees_soumises_au_secret_stat,a_des_effectifs_dut,geo_nom,geo_id,donnees_diffusables,rgp_formations_ou_etablissements,record_timestamp,effectif_ing,effectif_dut
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,1494e5cca180687832a0de3fd61d6e77e358e5c0,Masculin,REGION,oui,1,non,Établissements privés,Région,2001-02,CPGE,2001,R52,non,PR,783,Autres données,non,Pays de la Loire,R52,Données diffusables,Classes préparatoires aux grandes écoles (CPGE),2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,951bd337fb049a04cf41b75b9e39005e21a57dc8,Feminin,REGION,oui,2,non,Établissements privés,Région,2001-02,EC_JUR,2001,R52,non,PR,109,Autres données,non,Pays de la Loire,R52,Données diffusables,Écoles juridiques et administratives,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,e016841e82e099fa087e384fefe2ab20de4dec0c,Masculin,REGION,oui,1,non,Établissements privés,Région,2001-02,EC_PARAM,2001,R52,non,PR,369,Autres données,non,Pays de la Loire,R52,Données diffusables,Écoles paramédicales et sociales,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,0df0d3408aaaa72b739d047ceff6b0bebba024a2,Masculin,REGION,oui,1,non,Établissements privés,Région,2001-02,EC_autres,2001,R52,non,PR,701,Autres données,non,Pays de la Loire,R52,Données diffusables,Autres écoles de spécialités diverses,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,7a5a06645edc9d5c8c1d9a70b8e4dd55c24454ca,Feminin,REGION,oui,2,non,Établissements publics,Région,2001-02,EC_autres,2001,R52,non,PU,1526,Autres données,non,Pays de la Loire,R52,Données diffusables,Autres écoles de spécialités diverses,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,79177017f0da35eeaba4cc6590ca62de0979d8d8,Feminin,REGION,oui,2,oui,Établissements privés,Région,2001-02,ING_autres,2001,R52,non,PR,353,Autres données,non,Pays de la Loire,R52,Données diffusables,Autres formations d'ingénieurs,2017-04-03T14:31:09+02:00,353,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,b97530a1ccade37d5a7f2930b35225f12e00042c,Masculin,REGION,oui,1,oui,Établissements privés,Région,2001-02,TOTAL,2001,R52,non,PR,11945,Autres données,non,Pays de la Loire,R52,Données diffusables,Total des formations d'enseignement supérieur,2017-04-03T14:31:09+02:00,1824,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,6a2b9b0eec19dc3947aa2f61bcd21efc4c257360,Feminin,REGION,oui,2,non,Établissements publics,Région,2015-16,CPGE,2015,R52,non,PU,1130,Autres données,non,Pays de la Loire,R52,Données diffusables,Classes préparatoires aux grandes écoles (CPGE),2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,fae2e3650b284a51bdf7a130b278ae81890b88f9,Masculin,REGION,oui,1,non,Établissements publics,Région,2015-16,CPGE,2015,R52,non,PU,1890,Autres données,non,Pays de la Loire,R52,Données diffusables,Classes préparatoires aux grandes écoles (CPGE),2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,c14e7d70519a7fd7341a008dac4588155032a829,Masculin,REGION,oui,1,non,Établissements privés,Région,2015-16,CPGE,2015,R52,non,PR,879,Autres données,non,Pays de la Loire,R52,Données diffusables,Classes préparatoires aux grandes écoles (CPGE),2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,6b072aa660e9d8a9467b9776239c9f3b4e8bd9c7,Masculin,REGION,oui,1,non,Établissements privés,Région,2015-16,EC_JUR,2015,R52,non,PR,49,Autres données,non,Pays de la Loire,R52,Données diffusables,Écoles juridiques et administratives,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,4c7c5290f820392045c93e8e72f72e295652795a,Feminin,REGION,oui,2,non,Établissements privés,Région,2015-16,EC_PARAM,2015,R52,non,PR,1845,Autres données,non,Pays de la Loire,R52,Données diffusables,Écoles paramédicales et sociales,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,5c87d633ebee9dee78e27cd885b61a77027e8ada,Feminin,REGION,oui,2,non,Établissements privés,Région,2015-16,EPEU,2015,R52,non,PR,5082,Autres données,non,Pays de la Loire,R52,Données diffusables,Etablissements d'enseignement universitaire privés,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,a5ddd73d35b887b97f50e4b99a2da3e4069baefc,Masculin,REGION,oui,1,oui,Établissements publics,Région,2015-16,ING_autres,2015,R52,non,PU,2534,Autres données,non,Pays de la Loire,R52,Données diffusables,Autres formations d'ingénieurs,2017-04-03T14:31:09+02:00,2534,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,d744565129c496302c4287d029763ecb5a3fe350,Masculin,REGION,oui,1,non,Établissements privés,Région,2015-16,STS,2015,R52,non,PR,4054,Autres données,non,Pays de la Loire,R52,Données diffusables,Sections de techniciens supérieurs (STS) et assimilés,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,41ab46b46faee2a2bb8e886b00f74bb872a6caea,Feminin,REGION,oui,2,oui,Établissements publics,Région,2015-16,TOTAL,2015,R52,non,PU,51147,Autres données,oui,Pays de la Loire,R52,Données diffusables,Total des formations d'enseignement supérieur,2017-04-03T14:31:09+02:00,1508,2125
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,fa774bc9e7351e8d251e57bc437b4257bfe9008d,Masculin,REGION,oui,1,oui,Établissements privés,Région,2015-16,TOTAL,2015,R52,non,PR,16489,Autres données,non,Pays de la Loire,R52,Données diffusables,Total des formations d'enseignement supérieur,2017-04-03T14:31:09+02:00,3167,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,61820a65c271e39a864da04cc4c249a53b418039,Feminin,REGION,oui,2,non,Établissements publics,Région,2008-09,CPGE,2008,R52,non,PU,1070,Autres données,non,Pays de la Loire,R52,Données diffusables,Classes préparatoires aux grandes écoles (CPGE),2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,40701c6e129a71bff6f103f5765593ce2c97748b,Feminin,REGION,oui,2,non,Établissements publics,Région,2008-09,EC_ART,2008,R52,non,PU,904,Autres données,non,Pays de la Loire,R52,Données diffusables,Écoles supérieures art et culture,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,01536b17d9712d80da57fba4fabd24d76a426604,Masculin,REGION,oui,1,non,Établissements privés,Région,2008-09,EC_ART,2008,R52,non,PR,775,Autres données,non,Pays de la Loire,R52,Données diffusables,Écoles supérieures art et culture,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,1bb9b83fe882d32ab0e5a93b5da0d2289e92098b,Feminin,REGION,oui,2,oui,Établissements publics,Région,2008-09,ING_autres,2008,R52,non,PU,952,Autres données,non,Pays de la Loire,R52,Données diffusables,Autres formations d'ingénieurs,2017-04-03T14:31:09+02:00,952,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,8cc27d5a008ba5feee8c6ee0d12ba3049b4ed5a3,Masculin,REGION,oui,1,oui,Établissements privés,Région,2008-09,ING_autres,2008,R52,non,PR,2891,Autres données,non,Pays de la Loire,R52,Données diffusables,Autres formations d'ingénieurs,2017-04-03T14:31:09+02:00,2891,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,2561d60977f19498f83bc008a9620819cca071e0,Feminin,REGION,oui,2,oui,Établissements publics,Région,2008-09,TOTAL,2008,R52,non,PU,44169,Autres données,oui,Pays de la Loire,R52,Données diffusables,Total des formations d'enseignement supérieur,2017-04-03T14:31:09+02:00,1108,2068
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,4794b9ac7def92625927fde9af93c08c524205aa,Masculin,REGION,oui,1,oui,Établissements privés,Région,2008-09,TOTAL,2008,R52,non,PR,13974,Autres données,non,Pays de la Loire,R52,Données diffusables,Total des formations d'enseignement supérieur,2017-04-03T14:31:09+02:00,2891,
