datasetid,recordid,sexe_de_l_etudiant,niveau_geo,diffusable,sexe,a_des_effectifs_ing,secteur_de_l_etablissement,niveau_geographique,rentree_universitaire,regroupement,rentree,reg_id,secret,secteur,effectif,donnees_soumises_au_secret_stat,a_des_effectifs_dut,geo_nom,geo_id,donnees_diffusables,rgp_formations_ou_etablissements,record_timestamp,effectif_ing,effectif_dut
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,dde666f267c6a7b9002efd3b9c17584cee143e86,Masculin,REGION,oui,1,non,Établissements privés,Région,2001-02,CPGE,2001,R76,non,PR,522,Autres données,non,Occitanie,R76,Données diffusables,Classes préparatoires aux grandes écoles (CPGE),2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,699c76861149be7c112539816a4bcd7c92d99493,Masculin,REGION,oui,1,non,Établissements privés,Région,2001-02,EC_ART,2001,R76,non,PR,249,Autres données,non,Occitanie,R76,Données diffusables,Écoles supérieures art et culture,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,0407c1a486e790639f91e19e601baaca7bafa8b8,Masculin,REGION,oui,1,non,Établissements privés,Région,2001-02,EC_PARAM,2001,R76,non,PR,832,Autres données,non,Occitanie,R76,Données diffusables,Écoles paramédicales et sociales,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,7d2fdd85f84e95da8ca9bf034f7be05e55181294,Feminin,REGION,oui,2,non,Établissements privés,Région,2001-02,EPEU,2001,R76,non,PR,1124,Autres données,non,Occitanie,R76,Données diffusables,Etablissements d'enseignement universitaire privés,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,8f6055070c02b8f3575ca76bddd558815190e97a,Masculin,REGION,oui,1,non,Établissements privés,Région,2001-02,EPEU,2001,R76,non,PR,862,Autres données,non,Occitanie,R76,Données diffusables,Etablissements d'enseignement universitaire privés,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,d935d3f6dfdeae27d1d725fe3fa892110e510689,Feminin,REGION,oui,2,oui,Établissements privés,Région,2001-02,TOTAL,2001,R76,non,PR,12503,Autres données,non,Occitanie,R76,Données diffusables,Total des formations d'enseignement supérieur,2017-04-03T14:31:09+02:00,181,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,577419ae39e0d647435683bb84001b79a1a49ee4,Feminin,REGION,oui,2,non,Établissements privés,Région,2001-02,CPGE,2001,R84,non,PR,623,Autres données,non,Auvergne-Rhône-Alpes,R84,Données diffusables,Classes préparatoires aux grandes écoles (CPGE),2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,c67cad5b2d41e46fd543dd494be014c4e763e017,Feminin,REGION,oui,2,non,Établissements publics,Région,2001-02,EC_JUR,2001,R84,non,PU,775,Autres données,non,Auvergne-Rhône-Alpes,R84,Données diffusables,Écoles juridiques et administratives,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,328d6b5052ff67ed030be698e6c620751fc6580e,Masculin,REGION,oui,1,non,Établissements privés,Région,2001-02,EC_JUR,2001,R84,non,PR,127,Autres données,non,Auvergne-Rhône-Alpes,R84,Données diffusables,Écoles juridiques et administratives,2017-04-03T14:31:09+02:00,,
fr-esr-atlas_regional-effectifs-d-etudiants-inscrits,faa908f893cd381e79a306b99732daacdeac2f00,Masculin,REGION,oui,1,non,Établissements publics,Région,2001-02,EC_JUR,2001,R84,non,PU,1014,Autres données,non,Auvergne-Rhône-Alpes,R84,Données diffusables,Écoles juridiques et administratives,2017-04-03T14:31:09+02:00,,
