code_zone_geo;Zone géographique;Année;code_indicateur;Indicateur;code_type_pers;Type de personnel;code_intensite;Intensité technologique;Secret;Non disponible;État des données;Valeur
07;Régions d'outre-mer;2003;pers;Effectifs de R&D;1;Chercheurs;9;Primaire - énergie - BTP et services;non;oui;définitif;;
07;Régions d'outre-mer;2003;pers;Effectifs de R&D;2;Soutien à la recherche;0;Toutes intensités technologiques;non;non;définitif;5.87
07;Régions d'outre-mer;2005;dird;Dépense intérieure de R&D;;;3;Moyenne-haute technologie;oui;non;définitif;
07;Régions d'outre-mer;2006;dird;Dépense intérieure de R&D;;;6;Services;non;non;définitif;0.23
07;Régions d'outre-mer;2007;dird;Dépense intérieure de R&D;;;6;Services;oui;non;définitif;
07;Régions d'outre-mer;2007;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes intensités technologiques;non;non;définitif;111.99
07;Régions d'outre-mer;2007;pers;Effectifs de R&D;1;Chercheurs;0;Toutes intensités technologiques;non;non;définitif;58.84
07;Régions d'outre-mer;2008;dird;Dépense intérieure de R&D;;;6;Services;non;non;définitif;2.9
07;Régions d'outre-mer;2008;pers;Effectifs de R&D;1;Chercheurs;0;Toutes intensités technologiques;non;non;définitif;65.72
07;Régions d'outre-mer;2008;pers;Effectifs de R&D;1;Chercheurs;7;Moyenne-faible et faible technologies;non;non;définitif;6.41
07;Régions d'outre-mer;2008;pers;Effectifs de R&D;1;Chercheurs;9;Primaire - énergie - BTP et services;non;non;définitif;45.75
07;Régions d'outre-mer;2008;pers;Effectifs de R&D;2;Soutien à la recherche;9;Primaire - énergie - BTP et services;non;non;définitif;24.03
07;Régions d'outre-mer;2009;dird;Dépense intérieure de R&D;;;5;Primaire - énergie - BTP;oui;non;définitif;
07;Régions d'outre-mer;2009;pers;Effectifs de R&D;2;Soutien à la recherche;7;Moyenne-faible et faible technologies;non;non;définitif;31.31
07;Régions d'outre-mer;2009;pers;Effectifs de R&D;2;Soutien à la recherche;8;Haute et moyenne-haute technologies;non;non;définitif;13.02
07;Régions d'outre-mer;2010;dird;Dépense intérieure de R&D;;;2;Moyenne-faible technologie;non;non;définitif;0.58
07;Régions d'outre-mer;2010;dird;Dépense intérieure de R&D;;;5;Primaire - énergie - BTP;oui;non;définitif;
07;Régions d'outre-mer;2010;pers;Effectifs de R&D;1;Chercheurs;0;Toutes intensités technologiques;non;non;définitif;70.96
07;Régions d'outre-mer;2011;dird;Dépense intérieure de R&D;;;2;Moyenne-faible technologie;oui;non;définitif;
07;Régions d'outre-mer;2011;pers;Effectifs de R&D;0;Tous types de personnel;0;Toutes intensités technologiques;non;non;définitif;216.32
07;Régions d'outre-mer;2011;pers;Effectifs de R&D;1;Chercheurs;0;Toutes intensités technologiques;non;non;définitif;92.56
